"state","week","deathsum","committee","individual"
"1","AK",2020-03-10,NA,33000,74022
"2","AK",2020-03-17,0,14500,50898
"3","AK",2020-03-24,0,24000,43853
"4","AK",2020-03-31,3,38800,115021
"5","AK",2020-04-07,3,NA,50
"6","AK",2020-04-14,3,NA,NA
"7","AK",2020-04-21,0,NA,NA
"8","AK",2020-04-28,0,NA,NA
"9","AK",2020-05-05,0,NA,NA
"10","AL",2020-03-10,NA,182785,243641
"11","AL",2020-03-17,0,98500,377399
"12","AL",2020-03-24,0,52500,86797
"13","AL",2020-03-31,13,42010,593836
"14","AL",2020-04-07,43,NA,NA
"15","AL",2020-04-14,54,NA,4400
"16","AL",2020-04-21,67,NA,NA
"17","AL",2020-04-28,65,NA,NA
"18","AL",2020-05-05,37,NA,NA
"19","AR",2020-03-10,NA,23500,81293
"20","AR",2020-03-17,0,45500,30350
"21","AR",2020-03-24,0,16500,26395
"22","AR",2020-03-31,8,14500,37681
"23","AR",2020-04-07,8,NA,NA
"24","AR",2020-04-14,14,NA,NA
"25","AR",2020-04-21,13,NA,NA
"26","AR",2020-04-28,9,NA,NA
"27","AR",2020-05-05,12,NA,NA
"28","AS",2020-03-17,NA,NA,NA
"29","AS",2020-03-24,0,NA,NA
"30","AS",2020-03-31,0,NA,NA
"31","AS",2020-04-07,0,NA,NA
"32","AS",2020-04-14,0,NA,NA
"33","AS",2020-04-21,0,NA,NA
"34","AS",2020-04-28,0,NA,NA
"35","AS",2020-05-05,0,NA,NA
"36","AZ",2020-03-10,NA,118050,567482
"37","AZ",2020-03-17,0,112800,362610
"38","AZ",2020-03-24,5,83000,361938
"39","AZ",2020-03-31,19,133101,440441
"40","AZ",2020-04-07,49,NA,NA
"41","AZ",2020-04-14,58,NA,NA
"42","AZ",2020-04-21,77,NA,NA
"43","AZ",2020-04-28,85,NA,NA
"44","AZ",2020-05-05,37,NA,NA
"45","CA",2020-03-10,NA,1698804,3557196
"46","CA",2020-03-17,11,656247,3082082
"47","CA",2020-03-24,29,489289,2174709
"48","CA",2020-03-31,113,305587,2411020
"49","CA",2020-04-07,221,NA,4050
"50","CA",2020-04-14,384,NA,NA
"51","CA",2020-04-21,510,NA,NA
"52","CA",2020-04-28,541,NA,NA
"53","CA",2020-05-05,264,NA,NA
"54","CO",2020-03-10,NA,73036,425768
"55","CO",2020-03-17,1,133723,206636
"56","CO",2020-03-24,6,47000,133480
"57","CO",2020-03-31,44,127990,344787
"58","CO",2020-04-07,99,NA,NA
"59","CO",2020-04-14,158,NA,NA
"60","CO",2020-04-21,141,NA,NA
"61","CO",2020-04-28,257,NA,NA
"62","CO",2020-05-05,71,NA,NA
"63","CT",2020-03-10,NA,108587,322938
"64","CT",2020-03-17,0,59500,288207
"65","CT",2020-03-24,12,22500,124344
"66","CT",2020-03-31,57,32000,214798
"67","CT",2020-04-07,208,NA,NA
"68","CT",2020-04-14,394,NA,NA
"69","CT",2020-04-21,752,NA,NA
"70","CT",2020-04-28,666,NA,NA
"71","CT",2020-05-05,250,NA,NA
"72","DC",2020-03-10,NA,2576613,656492
"73","DC",2020-03-17,0,2346801,381123
"74","DC",2020-03-24,2,1793438,172877
"75","DC",2020-03-31,7,334127,427884
"76","DC",2020-04-07,13,NA,700
"77","DC",2020-04-14,45,NA,NA
"78","DC",2020-04-21,45,NA,NA
"79","DC",2020-04-28,78,NA,NA
"80","DC",2020-05-05,41,NA,NA
"81","DE",2020-03-10,NA,26000,110670
"82","DE",2020-03-17,0,52800,46557
"83","DE",2020-03-24,0,18000,23437
"84","DE",2020-03-31,10,26900,51213
